"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","ms-section","tablescraper-selected-row 6","tablescraper-selected-row 7"
"142.54.226.214","4145","Socks5","Estados Unidos","Elite","938ms","90.7%","4 meses"
"68.71.247.130","4145","Socks4","Estados Unidos","Elite","790ms","90.8%","10 minutos"
"4.175.121.88","80","HTTP","Estados Unidos","Elite","95ms","95.3%","4 horas"
"72.210.252.137","4145","Socks5","Estados Unidos","Elite","3017ms","82.2%","1 hora"
"192.111.137.35","4145","Socks4","Estados Unidos","Elite","708ms","85.5%","1 hora"
"142.54.235.9","4145","Socks4","Estados Unidos","Elite","1507ms","89.8%","6 months"
"117.160.250.138","8899","HTTP","China","Elite","1178ms","93.5%","13 minutos"
"46.35.9.110","80","HTTP","Francia","Elite","83ms","35.1%","15 minutos"
"95.217.210.191","8080","HTTP","Finlandia","Anónimo","136ms","42.6%","7 months"
"179.53.239.155","3128","HTTP","República Dominicana","Anónimo","560ms","64%","4 meses"
"64.56.159.214","3128","HTTP","Canadá","Anónimo","648ms","41.6%","6 minutos"
"47.91.104.88","3128","HTTP","United Arab Emirates","Elite","1256ms","77.7%","12 minutos"
"43.133.180.107","7890","HTTP","Japón","Elite","1118ms","83.9%","6 months"
"117.160.250.133","80","HTTP","China","Anónimo","514ms","85.8%","1 hora"
"20.219.137.240","3000","HTTP","Estados Unidos","Elite","501ms","46%","9 minutos"
"103.105.196.130","3128","HTTP","Indonesia","Anónimo","736ms","99.4%","29 días"
"112.53.184.170","9091","HTTP","China","Elite","2770ms","72.3%","11 minutos"
"190.61.97.229","999","HTTP","Argentina","Anónimo","4213ms","77.7%","7 months"
"184.178.172.17","4145","Socks4","Estados Unidos","Elite","1800ms","94.3%","12 minutos"
"195.114.209.50","80","HTTP","España","Elite","7026ms","50.3%","45 minutos"
"143.110.190.83","8080","HTTP","Estados Unidos","Elite","646ms","81%","14 minutos"
"199.58.185.9","4145","Socks4","Estados Unidos","Elite","730ms","92.9%","22 minutos"
"81.70.187.80","8080","HTTP","China","Anónimo","991ms","65.8%","27 minutos"
"5.161.207.168","3128","HTTP","Irán","Anónimo","395ms","44.7%","5 meses"
"98.162.25.23","4145","Socks4","Estados Unidos","Elite","2839ms","90.4%","50 minutos"
"124.126.5.36","7891","Socks5","China","Elite","2204ms","78.3%","11 minutos"
